RowId,YearStart,YearEnd,LocationAbbr,state,Datasource,Class,Topic,Question,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
BRFSS~2022~2022~32~Q31~TCC02~AGE~RACE,2022,2022,NV,Nevada,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-117.0718406 39.49324039),C06,TCC02,Q31,32,AGE,5064,RACE,BLK
BRFSS~2022~2022~23~Q31~TCC02~AGE~OVERALL,2022,2022,ME,Maine,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,25.8,25.8,,,20.2,32.4,Age Group,65 years or older,,,POINT (-68.98503134 45.25422889),C06,TCC02,Q31,23,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~51~Q42~TCC04~AGE~GENDER,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,51.4,51.4,,,39.5,63.1,Age Group,50-64 years,Gender,Female,POINT (-78.45789046 37.54268067),C06,TCC04,Q42,51,AGE,5064,GENDER,FEMALE
BRFSS~2022~2022~16~Q42~TCC04~AGE~RACE,2022,2022,ID,Idaho,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-114.36373 43.68263001),C06,TCC04,Q42,16,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~50~Q42~TCC04~AGE~GENDER,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,54.4,54.4,,,46.4,62.1,Age Group,Overall,Gender,Female,POINT (-72.51764079 43.62538124),C06,TCC04,Q42,50,AGE,AGE_OVERALL,GENDER,FEMALE
BRFSS~2022~2022~50~Q42~TCC04~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-72.51764079 43.62538124),C06,TCC04,Q42,50,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2019~2022~36~Q30~TCC01~AGE~RACE,2019,2022,NY,New York,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,13.8,13.8,,,9.8,19.1,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-75.54397043 42.82700103),C06,TCC01,Q30,36,AGE,5064,RACE,HIS
BRFSS~2019~2022~49~Q30~TCC01~AGE~RACE,2019,2022,UT,Utah,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-111.5871306 39.36070017),C06,TCC01,Q30,49,AGE,65PLUS,RACE,BLK
BRFSS~2019~2022~53~Q30~TCC01~AGE~GENDER,2019,2022,WA,Washington,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,9.5,9.5,,,7.8,11.4,Age Group,65 years or older,Gender,Female,POINT (-120.4700108 47.52227863),C06,TCC01,Q30,53,AGE,65PLUS,GENDER,FEMALE
BRFSS~2019~2022~53~Q30~TCC01~AGE~GENDER,2019,2022,WA,Washington,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,9.3,9.3,,,7.6,11.3,Age Group,65 years or older,Gender,Male,POINT (-120.4700108 47.52227863),C06,TCC01,Q30,53,AGE,65PLUS,GENDER,MALE
