LocationDesc,Class,Stratification2,Data_Value,state,id,abbr
Alabama,Caregiving,Female,37.66,Alabama,1.0,AL
Alabama,Caregiving,Male,35.03333333333333,Alabama,1.0,AL
Alabama,Cognitive Decline,Female,36.275,Alabama,1.0,AL
Alabama,Cognitive Decline,Male,34.891666666666666,Alabama,1.0,AL
Alabama,Mental Health,Female,21.733333333333334,Alabama,1.0,AL
Alabama,Mental Health,Male,14.566666666666668,Alabama,1.0,AL
Alabama,Smoking and Alcohol Use,Female,8.333333333333334,Alabama,1.0,AL
Alabama,Smoking and Alcohol Use,Male,13.200000000000001,Alabama,1.0,AL
Alaska,Caregiving,Female,35.620000000000005,Alaska,2.0,AK
Alaska,Caregiving,Male,31.346666666666668,Alaska,2.0,AK
Alaska,Cognitive Decline,Female,30.688888888888886,Alaska,2.0,AK
Alaska,Cognitive Decline,Male,16.700000000000003,Alaska,2.0,AK
Alaska,Mental Health,Female,16.866666666666664,Alaska,2.0,AK
Alaska,Mental Health,Male,8.4,Alaska,2.0,AK
Alaska,Smoking and Alcohol Use,Female,11.166666666666666,Alaska,2.0,AK
Alaska,Smoking and Alcohol Use,Male,14.549999999999999,Alaska,2.0,AK
Arizona,Caregiving,Female,36.96,Arizona,4.0,AZ
Arizona,Caregiving,Male,33.14,Arizona,4.0,AZ
Arizona,Cognitive Decline,Female,31.383333333333336,Arizona,4.0,AZ
Arizona,Cognitive Decline,Male,21.10909090909091,Arizona,4.0,AZ
Arizona,Mental Health,Female,18.45,Arizona,4.0,AZ
Arizona,Mental Health,Male,11.266666666666666,Arizona,4.0,AZ
Arizona,Smoking and Alcohol Use,Female,8.85,Arizona,4.0,AZ
Arizona,Smoking and Alcohol Use,Male,12.5,Arizona,4.0,AZ
Arkansas,Caregiving,Female,36.1,Arkansas,5.0,AR
Arkansas,Caregiving,Male,33.559999999999995,Arkansas,5.0,AR
Arkansas,Cognitive Decline,Female,38.041666666666664,Arkansas,5.0,AR
Arkansas,Cognitive Decline,Male,27.666666666666668,Arkansas,5.0,AR
Arkansas,Mental Health,Female,21.766666666666666,Arkansas,5.0,AR
Arkansas,Mental Health,Male,14.450000000000001,Arkansas,5.0,AR
Arkansas,Smoking and Alcohol Use,Female,10.200000000000001,Arkansas,5.0,AR
Arkansas,Smoking and Alcohol Use,Male,14.683333333333332,Arkansas,5.0,AR
California,Caregiving,Female,34.4,California,6.0,CA
California,Caregiving,Male,35.371428571428574,California,6.0,CA
California,Cognitive Decline,Female,32.15833333333333,California,6.0,CA
California,Cognitive Decline,Male,24.299999999999997,California,6.0,CA
California,Mental Health,Female,16.833333333333332,California,6.0,CA
California,Mental Health,Male,10.6,California,6.0,CA
California,Smoking and Alcohol Use,Female,7.8999999999999995,California,6.0,CA
California,Smoking and Alcohol Use,Male,12.049999999999999,California,6.0,CA
Colorado,Caregiving,Female,34.983333333333334,Colorado,8.0,CO
Colorado,Caregiving,Male,31.916666666666668,Colorado,8.0,CO
Colorado,Cognitive Decline,Female,29.108333333333334,Colorado,8.0,CO
Colorado,Cognitive Decline,Male,29.933333333333334,Colorado,8.0,CO
Colorado,Mental Health,Female,16.666666666666668,Colorado,8.0,CO
Colorado,Mental Health,Male,10.4,Colorado,8.0,CO
Colorado,Smoking and Alcohol Use,Female,7.683333333333334,Colorado,8.0,CO
Colorado,Smoking and Alcohol Use,Male,11.783333333333333,Colorado,8.0,CO
Connecticut,Caregiving,Female,38.086666666666666,Connecticut,9.0,CT
Connecticut,Caregiving,Male,32.64,Connecticut,9.0,CT
Connecticut,Cognitive Decline,Female,33.31,Connecticut,9.0,CT
Connecticut,Cognitive Decline,Male,25.0375,Connecticut,9.0,CT
Connecticut,Mental Health,Female,15.683333333333332,Connecticut,9.0,CT
Connecticut,Mental Health,Male,10.916666666666666,Connecticut,9.0,CT
Connecticut,Smoking and Alcohol Use,Female,8.883333333333335,Connecticut,9.0,CT
Connecticut,Smoking and Alcohol Use,Male,11.35,Connecticut,9.0,CT
Delaware,Caregiving,Female,36.126666666666665,Delaware,10.0,DE
Delaware,Caregiving,Male,27.959999999999997,Delaware,10.0,DE
Delaware,Cognitive Decline,Female,26.571428571428573,Delaware,10.0,DE
Delaware,Cognitive Decline,Male,19.616666666666667,Delaware,10.0,DE
Delaware,Mental Health,Female,16.583333333333332,Delaware,10.0,DE
Delaware,Mental Health,Male,9.5,Delaware,10.0,DE
Delaware,Smoking and Alcohol Use,Female,9.233333333333333,Delaware,10.0,DE
Delaware,Smoking and Alcohol Use,Male,11.6,Delaware,10.0,DE
District of Columbia,Cognitive Decline,Female,29.522222222222222,District of Columbia,11.0,DC
District of Columbia,Cognitive Decline,Male,25.414285714285715,District of Columbia,11.0,DC
District of Columbia,Mental Health,Female,16.283333333333335,District of Columbia,11.0,DC
District of Columbia,Mental Health,Male,9.516666666666667,District of Columbia,11.0,DC
District of Columbia,Smoking and Alcohol Use,Female,9.700000000000001,District of Columbia,11.0,DC
District of Columbia,Smoking and Alcohol Use,Male,12.100000000000001,District of Columbia,11.0,DC
Florida,Cognitive Decline,Female,35.875,Florida,12.0,FL
Florida,Cognitive Decline,Male,31.825,Florida,12.0,FL
Florida,Mental Health,Female,17.03333333333333,Florida,12.0,FL
Florida,Mental Health,Male,11.366666666666667,Florida,12.0,FL
