LocationDesc,Class,Data_Value,Column_Name,state,id,abbr
Alabama,Caregiving,36.16133333333333,Alabama Caregiving Average%,Alabama,1.0,AL
Alabama,Cognitive Decline,35.72833333333333,Alabama Cognitive Decline Average%,Alabama,1.0,AL
Alabama,Mental Health,17.58,Alabama Mental Health Average%,Alabama,1.0,AL
Alabama,Smoking and Alcohol Use,10.356666666666666,Alabama Smoking and Alcohol Use Average%,Alabama,1.0,AL
Alaska,Caregiving,33.42,Alaska Caregiving Average%,Alaska,2.0,AK
Alaska,Cognitive Decline,26.23125,Alaska Cognitive Decline Average%,Alaska,2.0,AK
Alaska,Mental Health,12.803225806451612,Alaska Mental Health Average%,Alaska,2.0,AK
Alaska,Smoking and Alcohol Use,14.4,Alaska Smoking and Alcohol Use Average%,Alaska,2.0,AK
Arizona,Caregiving,34.46052631578947,Arizona Caregiving Average%,Arizona,4.0,AZ
Arizona,Cognitive Decline,26.63448275862069,Arizona Cognitive Decline Average%,Arizona,4.0,AZ
Arizona,Mental Health,15.563157894736841,Arizona Mental Health Average%,Arizona,4.0,AZ
Arizona,Smoking and Alcohol Use,10.920689655172414,Arizona Smoking and Alcohol Use Average%,Arizona,4.0,AZ
Arkansas,Caregiving,34.09710144927536,Arkansas Caregiving Average%,Arkansas,5.0,AR
Arkansas,Cognitive Decline,33.37708333333333,Arkansas Cognitive Decline Average%,Arkansas,5.0,AR
Arkansas,Mental Health,18.570967741935487,Arkansas Mental Health Average%,Arkansas,5.0,AR
Arkansas,Smoking and Alcohol Use,13.176666666666668,Arkansas Smoking and Alcohol Use Average%,Arkansas,5.0,AR
California,Caregiving,33.32394366197183,California Caregiving Average%,California,6.0,CA
California,Cognitive Decline,27.68860759493671,California Cognitive Decline Average%,California,6.0,CA
California,Mental Health,14.144736842105264,California Mental Health Average%,California,6.0,CA
California,Smoking and Alcohol Use,10.714705882352941,California Smoking and Alcohol Use Average%,California,6.0,CA
Colorado,Caregiving,32.736363636363635,Colorado Caregiving Average%,Colorado,8.0,CO
Colorado,Cognitive Decline,28.637254901960784,Colorado Cognitive Decline Average%,Colorado,8.0,CO
Colorado,Mental Health,14.06060606060606,Colorado Mental Health Average%,Colorado,8.0,CO
Colorado,Smoking and Alcohol Use,10.670967741935485,Colorado Smoking and Alcohol Use Average%,Colorado,8.0,CO
Connecticut,Caregiving,34.81805555555556,Connecticut Caregiving Average%,Connecticut,9.0,CT
Connecticut,Cognitive Decline,28.7027397260274,Connecticut Cognitive Decline Average%,Connecticut,9.0,CT
Connecticut,Mental Health,13.446875,Connecticut Mental Health Average%,Connecticut,9.0,CT
Connecticut,Smoking and Alcohol Use,11.3625,Connecticut Smoking and Alcohol Use Average%,Connecticut,9.0,CT
Delaware,Caregiving,32.58382352941176,Delaware Caregiving Average%,Delaware,10.0,DE
Delaware,Cognitive Decline,25.24705882352941,Delaware Cognitive Decline Average%,Delaware,10.0,DE
Delaware,Mental Health,13.386206896551723,Delaware Mental Health Average%,Delaware,10.0,DE
Delaware,Smoking and Alcohol Use,10.751851851851852,Delaware Smoking and Alcohol Use Average%,Delaware,10.0,DE
District of Columbia,Cognitive Decline,28.544736842105266,District of Columbia Cognitive Decline Average%,District of Columbia,11.0,DC
District of Columbia,Mental Health,12.986666666666668,District of Columbia Mental Health Average%,District of Columbia,11.0,DC
District of Columbia,Smoking and Alcohol Use,11.242857142857144,District of Columbia Smoking and Alcohol Use Average%,District of Columbia,11.0,DC
Florida,Cognitive Decline,32.923595505617975,Florida Cognitive Decline Average%,Florida,12.0,FL
Florida,Mental Health,14.729411764705883,Florida Mental Health Average%,Florida,12.0,FL
Florida,Smoking and Alcohol Use,10.622222222222222,Florida Smoking and Alcohol Use Average%,Florida,12.0,FL
Georgia,Caregiving,35.669999999999995,Georgia Caregiving Average%,Georgia,13.0,GA
Georgia,Cognitive Decline,33.12833333333334,Georgia Cognitive Decline Average%,Georgia,13.0,GA
Georgia,Mental Health,14.7875,Georgia Mental Health Average%,Georgia,13.0,GA
Georgia,Smoking and Alcohol Use,10.382758620689655,Georgia Smoking and Alcohol Use Average%,Georgia,13.0,GA
Guam,Mental Health,9.341666666666667,Guam Mental Health Average%,Guam,66.0,GU
Guam,Smoking and Alcohol Use,22.52777777777778,Guam Smoking and Alcohol Use Average%,Guam,66.0,GU
Hawaii,Caregiving,33.631645569620254,Hawaii Caregiving Average%,Hawaii,15.0,HI
Hawaii,Cognitive Decline,25.586206896551722,Hawaii Cognitive Decline Average%,Hawaii,15.0,HI
Hawaii,Mental Health,11.185294117647059,Hawaii Mental Health Average%,Hawaii,15.0,HI
Hawaii,Smoking and Alcohol Use,10.200000000000001,Hawaii Smoking and Alcohol Use Average%,Hawaii,15.0,HI
Idaho,Caregiving,33.0,Idaho Caregiving Average%,Idaho,16.0,ID
Idaho,Cognitive Decline,28.043529411764705,Idaho Cognitive Decline Average%,Idaho,16.0,ID
Idaho,Mental Health,14.210714285714285,Idaho Mental Health Average%,Idaho,16.0,ID
Idaho,Smoking and Alcohol Use,11.192307692307692,Idaho Smoking and Alcohol Use Average%,Idaho,16.0,ID
Illinois,Caregiving,33.55081967213115,Illinois Caregiving Average%,Illinois,17.0,IL
Illinois,Cognitive Decline,29.476923076923075,Illinois Cognitive Decline Average%,Illinois,17.0,IL
Illinois,Mental Health,12.378124999999999,Illinois Mental Health Average%,Illinois,17.0,IL
Illinois,Smoking and Alcohol Use,11.19375,Illinois Smoking and Alcohol Use Average%,Illinois,17.0,IL
Indiana,Caregiving,33.51842105263158,Indiana Caregiving Average%,Indiana,18.0,IN
Indiana,Cognitive Decline,32.04130434782609,Indiana Cognitive Decline Average%,Indiana,18.0,IN
Indiana,Mental Health,15.584848484848484,Indiana Mental Health Average%,Indiana,18.0,IN
Indiana,Smoking and Alcohol Use,13.603125,Indiana Smoking and Alcohol Use Average%,Indiana,18.0,IN
Iowa,Caregiving,30.239682539682537,Iowa Caregiving Average%,Iowa,19.0,IA
Iowa,Cognitive Decline,28.410526315789472,Iowa Cognitive Decline Average%,Iowa,19.0,IA
Iowa,Mental Health,12.053571428571429,Iowa Mental Health Average%,Iowa,19.0,IA
Iowa,Smoking and Alcohol Use,13.4,Iowa Smoking and Alcohol Use Average%,Iowa,19.0,IA
Kansas,Caregiving,32.3235294117647,Kansas Caregiving Average%,Kansas,20.0,KS
Kansas,Cognitive Decline,29.008333333333336,Kansas Cognitive Decline Average%,Kansas,20.0,KS
Kansas,Mental Health,12.776666666666667,Kansas Mental Health Average%,Kansas,20.0,KS
Kansas,Smoking and Alcohol Use,14.12258064516129,Kansas Smoking and Alcohol Use Average%,Kansas,20.0,KS
Kentucky,Caregiving,36.1953125,Kentucky Caregiving Average%,Kentucky,21.0,KY
Kentucky,Cognitive Decline,33.471739130434784,Kentucky Cognitive Decline Average%,Kentucky,21.0,KY
Kentucky,Mental Health,17.775000000000002,Kentucky Mental Health Average%,Kentucky,21.0,KY
Kentucky,Smoking and Alcohol Use,15.104000000000001,Kentucky Smoking and Alcohol Use Average%,Kentucky,21.0,KY
Louisiana,Caregiving,34.70840336134454,Louisiana Caregiving Average%,Louisiana,22.0,LA
Louisiana,Cognitive Decline,36.80185185185185,Louisiana Cognitive Decline Average%,Louisiana,22.0,LA
Louisiana,Mental Health,19.95625,Louisiana Mental Health Average%,Louisiana,22.0,LA
Louisiana,Smoking and Alcohol Use,13.81,Louisiana Smoking and Alcohol Use Average%,Louisiana,22.0,LA
Maine,Caregiving,33.88333333333333,Maine Caregiving Average%,Maine,23.0,ME
Maine,Cognitive Decline,30.50357142857143,Maine Cognitive Decline Average%,Maine,23.0,ME
Maine,Mental Health,17.026923076923076,Maine Mental Health Average%,Maine,23.0,ME
Maine,Smoking and Alcohol Use,11.4125,Maine Smoking and Alcohol Use Average%,Maine,23.0,ME
Maryland,Caregiving,35.03896103896104,Maryland Caregiving Average%,Maryland,24.0,MD
Maryland,Cognitive Decline,25.88490566037736,Maryland Cognitive Decline Average%,Maryland,24.0,MD
Maryland,Mental Health,12.566666666666666,Maryland Mental Health Average%,Maryland,24.0,MD
Maryland,Smoking and Alcohol Use,8.448387096774193,Maryland Smoking and Alcohol Use Average%,Maryland,24.0,MD
Massachusetts,Caregiving,31.973333333333336,Massachusetts Caregiving Average%,Massachusetts,25.0,MA
Massachusetts,Mental Health,15.203030303030303,Massachusetts Mental Health Average%,Massachusetts,25.0,MA
Massachusetts,Smoking and Alcohol Use,10.526666666666667,Massachusetts Smoking and Alcohol Use Average%,Massachusetts,25.0,MA
Michigan,Caregiving,34.667741935483875,Michigan Caregiving Average%,Michigan,26.0,MI
Michigan,Cognitive Decline,31.32087912087912,Michigan Cognitive Decline Average%,Michigan,26.0,MI
Michigan,Mental Health,16.0875,Michigan Mental Health Average%,Michigan,26.0,MI
Michigan,Smoking and Alcohol Use,13.179310344827586,Michigan Smoking and Alcohol Use Average%,Michigan,26.0,MI
Midwest,Caregiving,33.100833333333334,Midwest Caregiving Average%,Midwest,,
Midwest,Cognitive Decline,36.0796875,Midwest Cognitive Decline Average%,Midwest,,
Midwest,Mental Health,14.932558139534883,Midwest Mental Health Average%,Midwest,,
Midwest,Smoking and Alcohol Use,14.024390243902438,Midwest Smoking and Alcohol Use Average%,Midwest,,
Minnesota,Caregiving,31.142647058823528,Minnesota Caregiving Average%,Minnesota,27.0,MN
Minnesota,Cognitive Decline,25.363265306122447,Minnesota Cognitive Decline Average%,Minnesota,27.0,MN
Minnesota,Mental Health,14.681818181818182,Minnesota Mental Health Average%,Minnesota,27.0,MN
Minnesota,Smoking and Alcohol Use,14.361290322580645,Minnesota Smoking and Alcohol Use Average%,Minnesota,27.0,MN
Mississippi,Caregiving,34.45897435897436,Mississippi Caregiving Average%,Mississippi,28.0,MS
Mississippi,Cognitive Decline,38.20166666666667,Mississippi Cognitive Decline Average%,Mississippi,28.0,MS
Mississippi,Mental Health,15.103333333333333,Mississippi Mental Health Average%,Mississippi,28.0,MS
Mississippi,Smoking and Alcohol Use,13.314285714285715,Mississippi Smoking and Alcohol Use Average%,Mississippi,28.0,MS
Missouri,Caregiving,33.278260869565216,Missouri Caregiving Average%,Missouri,29.0,MO
Missouri,Cognitive Decline,30.171999999999997,Missouri Cognitive Decline Average%,Missouri,29.0,MO
Missouri,Mental Health,15.093333333333334,Missouri Mental Health Average%,Missouri,29.0,MO
Missouri,Smoking and Alcohol Use,12.689655172413794,Missouri Smoking and Alcohol Use Average%,Missouri,29.0,MO
Montana,Mental Health,17.177419354838708,Montana Mental Health Average%,Montana,30.0,MT
Montana,Smoking and Alcohol Use,14.727586206896552,Montana Smoking and Alcohol Use Average%,Montana,30.0,MT
Nebraska,Caregiving,31.201666666666664,Nebraska Caregiving Average%,Nebraska,31.0,NE
Nebraska,Cognitive Decline,28.568749999999998,Nebraska Cognitive Decline Average%,Nebraska,31.0,NE
Nebraska,Mental Health,10.874074074074075,Nebraska Mental Health Average%,Nebraska,31.0,NE
Nebraska,Smoking and Alcohol Use,12.942857142857141,Nebraska Smoking and Alcohol Use Average%,Nebraska,31.0,NE
