YearEnd,LocationAbbr,state,id,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Stratification1
2022,ME,Maine,23,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,Percentage,25.8,25.8,,,65 years or older
2022,UT,Utah,49,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,Percentage,,,~,No Data Available,65 years or older
2022,WA,Washington,53,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,Percentage,9.5,9.5,,,65 years or older
2022,WA,Washington,53,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,Percentage,9.3,9.3,,,65 years or older
2022,NV,Nevada,32,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,Percentage,,,~,No Data Available,65 years or older
2022,OH,Ohio,39,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,Percentage,,,~,No Data Available,65 years or older
2022,OR,Oregon,41,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,Percentage,25.2,25.2,,,65 years or older
2022,GA,Georgia,13,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,Percentage,36.5,36.5,,,65 years or older
2022,WY,Wyoming,56,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,Percentage,32.2,32.2,,,65 years or older
2022,UT,Utah,49,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,65 years or older
2022,ME,Maine,23,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,Percentage,47.6,47.6,,,65 years or older
2022,ME,Maine,23,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,Percentage,9.6,9.6,,,65 years or older
2022,IN,Indiana,18,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,Percentage,,,~,No Data Available,65 years or older
2022,OH,Ohio,39,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,65 years or older
2022,UT,Utah,49,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,Percentage,42.3,42.3,,,65 years or older
2022,WI,Wisconsin,55,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,Percentage,22.5,22.5,,,65 years or older
2022,VT,Vermont,50,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,Percentage,12.0,12.0,,,65 years or older
